"id","code","name","date","status","substitute"
"account_italian_banks_abi_3069",3069,"INTESA SANPAOLO SPA","2013-02-28",0,0
"account_italian_banks_abi_3070",3070,"BANCA BUFFA","2013-02-28",1,3234
"account_italian_banks_abi_3071",3071,"BANCA MANAGER","2013-02-28",1,3015
"account_italian_banks_abi_3072",3072,"BANCA CARNICA","2013-02-28",1,3500
"account_italian_banks_abi_3073",3073,"BHW BAUSPARKASSE A.G.","2013-02-28",0,0
"account_italian_banks_abi_3074",3074,"FRANFINANCE S.A.","2013-02-28",0,0
"account_italian_banks_abi_3075",3075,"BANCA GENERALI SPA","2013-02-28",0,0
"account_italian_banks_abi_3076",3076,"B.CA CATTOLICA DEL VENETO","2013-02-28",1,3001
"account_italian_banks_abi_3077",3077,"B. AMBROSIANO VENETO SUD","2013-02-28",1,3001
"account_italian_banks_abi_3078",3078,"B.CA ARTIGIAN.E INDUSTRIA SPA","2013-02-28",1,5216
"account_italian_banks_abi_3081",3081,"BAYERISCHE HYPO - UND VEREINSBANK AG","2013-02-28",0,0
"account_italian_banks_abi_3082",3082,"BANCA PROXIMA SPA","2013-02-28",2,0
"account_italian_banks_abi_3083",3083,"BANCA LOMBARDA PRIV.INVESTMENT SPA","2013-02-28",0,0
"account_italian_banks_abi_3084",3084,"BANCA CESARE PONTI","2013-02-28",0,0
"account_italian_banks_abi_3085",3085,"CATERPILLAR FINANCIAL CORPORATION FS","2013-02-28",0,0
"account_italian_banks_abi_3086",3086,"B.D'INTERMEDIAZ.MOB. IMI SPA","2013-02-28",1,3249
"account_italian_banks_abi_3087",3087,"BANCA FINNAT EURAMERICA S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_3089",3089,"CREDIT SUISSE SPA","2013-02-28",0,0
"account_italian_banks_abi_3090",3090,"ANTONVENETA","2013-02-28",0,0
"account_italian_banks_abi_3091",3091,"BANC OF AMERICA SECURITIES LIMITED","2013-02-28",0,0
"account_italian_banks_abi_3093",3093,"BANK OF CHINA","2013-02-28",0,0
"account_italian_banks_abi_3094",3094,"BANCO DI BERGAMO","2013-02-28",1,3390
"account_italian_banks_abi_3095",3095,"COMMERZBANK A. G.","2013-02-28",0,0
"account_italian_banks_abi_3097",3097,"DEPFA-BANK AG","2013-02-28",0,0
"account_italian_banks_abi_3098",3098,"BANCA C.STEINHAUSLIN & C.","2013-02-28",1,1030
"account_italian_banks_abi_3099",3099,"NEOS BANCA SPA","2013-02-28",2,0
"account_italian_banks_abi_3100",3100,"B.CUNEESE LAMBERTI MEINARDI & C.","2013-02-28",1,6355
"account_italian_banks_abi_3101",3101,"BANQUE PSA FINANCE HOLDING S.A.","2013-02-28",0,0
"account_italian_banks_abi_3102",3102,"BANCA ALETTI & C. B.DI INV.MOB.","2013-02-28",0,0
"account_italian_banks_abi_3103",3103,"RCI BANQUE S.A.","2013-02-28",0,0
"account_italian_banks_abi_3104",3104,"DEUTSCHE BANK S.P.A","2013-02-28",0,0
"account_italian_banks_abi_3105",3105,"VOLKSWAGEN BANK GMBH.","2013-02-28",0,0
"account_italian_banks_abi_3107",3107,"RHEINHYP RHEINISCHE HYPOTHEKENBANK","2013-02-28",1,3217
"account_italian_banks_abi_3108",3108,"BANCA DE BIASE & C","2013-02-28",1,3077
"account_italian_banks_abi_3109",3109,"DIEBOLD COMPUTER LEASING DCL S.A.","2013-02-28",0,0
"account_italian_banks_abi_3110",3110,"FARBANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_3111",3111,"BANCA LOMBARDA E PIEMONTESE SPA","2013-02-28",0,0
"account_italian_banks_abi_3112",3112,"B.CA DEI COMUNI VESUVIANI","2013-02-28",1,3316
"account_italian_banks_abi_3113",3113,"CREDITO FONDIARIO TRENTO SPA","2013-02-28",1,6330
"account_italian_banks_abi_3114",3114,"CREDITO FONDIARIO BOLZANO SPA","2013-02-28",1,6045
"account_italian_banks_abi_3115",3115,"FINDOMESTIC BANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_3116",3116,"BANCA DEL CIMINO","2013-02-28",1,3500
"account_italian_banks_abi_3117",3117,"ON BANCA SPA","2013-02-28",1,3214
"account_italian_banks_abi_3118",3118,"BANCA DI LATINA SPA","2013-02-28",1,3032
"account_italian_banks_abi_3119",3119,"UNIBANCA SPA","2013-02-28",1,6120
"account_italian_banks_abi_3120",3120,"BANCA DEL FRIULI","2013-02-28",1,3556
"account_italian_banks_abi_3121",3121,"CARDINE BANCA SPA","2013-02-28",1,1025
"account_italian_banks_abi_3122",3122,"BANCA DELLA VALLE D'AOSTA","2013-02-28",1,8587
"account_italian_banks_abi_3123",3123,"AGRILEASING SPA- BANCA","2013-02-28",0,0
"account_italian_banks_abi_3124",3124,"BANCA DEL FUCINO","2013-02-28",0,0
"account_italian_banks_abi_3125",3125,"CASSE VENETE BANCA SPA","2013-02-28",1,3121
"account_italian_banks_abi_3126",3126,"GRUPPO BANCA LEONARDO SPA","2013-02-28",0,0
"account_italian_banks_abi_3127",3127,"UGF BANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_3130",3130,"BANCA PROVINCIA DI NAPOLI","2013-02-28",1,3032
"account_italian_banks_abi_3131",3131,"UNICREDIT BANCA MOBILIARE SPA","2013-02-28",0,0
"account_italian_banks_abi_3132",3132,"BANCA DEL LAVORO","2013-02-28",1,3038
"account_italian_banks_abi_3133",3133,"CREDITO ITALIANO SPA","2013-02-28",0,0
"account_italian_banks_abi_3134",3134,"ALPEN BANK A.G.","2013-02-28",0,0
"account_italian_banks_abi_3135",3135,"UNICREDITO ITALIANO SPA","2013-02-28",1,2008
"account_italian_banks_abi_3136",3136,"B.LAVORO E PICCOLO RISPARMIO","2013-02-28",0,0
"account_italian_banks_abi_3137",3137,"COMMERZBANK ASSET MANAGEMENT ITALIA","2013-02-28",1,3589
"account_italian_banks_abi_3138",3138,"BANCA REALE SPA","2013-02-28",0,0
"account_italian_banks_abi_3139",3139,"BANCA PER SVILUPPO COOP.CREDITO SPA","2013-02-28",0,0
"account_italian_banks_abi_3140",3140,"MPS BANCA PERSONALE SPA","2013-02-28",1,1030
"account_italian_banks_abi_3141",3141,"BANCA DI TREVISO SPA","2013-02-28",0,0
"account_italian_banks_abi_3142",3142,"BANCA SANPAOLO INVEST SPA","2013-02-28",1,3296
"account_italian_banks_abi_3143",3143,"MAPLE PARTNERS BANKHAUS GMBH","2013-02-28",0,0
"account_italian_banks_abi_3144",3144,"B.DEL SUD - B. MERCANTILE","2013-02-28",1,3312
"account_italian_banks_abi_3145",3145,"BANCA DEL TITANO SPA","2013-02-28",0,0
"account_italian_banks_abi_3147",3147,"BANCA OPI SPA","2013-02-28",1,3309
"account_italian_banks_abi_3149",3149,"BER - BANCO EMILIANO ROMAGNOLO SPA","2013-02-28",1,6385
"account_italian_banks_abi_3150",3150,"DEUTSCHE BANK MUTUI SPA","2013-02-28",0,0
"account_italian_banks_abi_3151",3151,"HYPO TIROL BANK AG","2013-02-28",0,0
"account_italian_banks_abi_3153",3153,"EUROHYPO AG","2013-02-28",1,3217
"account_italian_banks_abi_3154",3154,"BANQUE INTERNATIONALE A' LUXEMBOURG","2013-02-28",0,0
